Date,Time of day,yes_price,fore_gen,hour,month,day,weekday,week,norm_yp,norm_fg,norm_hh,norm_mm,norm_dd,norm_ww
"27-May, 2018",8:00 AM,42.62,0.26,8,5,27,7,21,0.5807509668575905,0.32098765432098764,0.34782608695652173,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",9:00 AM,40.47,0.35,9,5,27,7,21,0.5702256816957949,0.43209876543209874,0.3913043478260869,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",10:00 AM,34.58,0.44,10,5,27,7,21,0.5413912958339453,0.5432098765432098,0.43478260869565216,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",11:00 AM,33.02,0.51,11,5,27,7,21,0.5337543447398052,0.6296296296296297,0.4782608695652174,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",12:00 PM,30.87,0.51,12,5,27,7,21,0.5232290595780096,0.6296296296296297,0.5217391304347826,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",1:00 PM,29.03,0.44,13,5,27,7,21,0.5142213736721007,0.5432098765432098,0.5652173913043478,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",2:00 PM,29.94,0.37,14,5,27,7,21,0.5186762618103491,0.4567901234567901,0.6086956521739131,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",3:00 PM,29.06,0.31,15,5,27,7,21,0.5143682381162188,0.38271604938271603,0.6521739130434783,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",4:00 PM,30.41,0.23,16,5,27,7,21,0.5209771381015323,0.2839506172839506,0.6956521739130435,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",5:00 PM,35.08,0.14,17,5,27,7,21,0.5438390365692467,0.17283950617283952,0.7391304347826086,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",6:00 PM,44.06,0.06,18,5,27,7,21,0.5878004601752583,0.07407407407407407,0.7826086956521738,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",7:00 PM,43.94,0.01,19,5,27,7,21,0.587213002398786,0.012345679012345678,0.8260869565217391,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",8:00 PM,44.55,0.0,20,5,27,7,21,0.5901992460958536,0.0,0.8695652173913043,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",9:00 PM,43.02,0.0,21,5,27,7,21,0.5827091594458316,0.0,0.9130434782608695,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",10:00 PM,43.92,0.0,22,5,27,7,21,0.587115092769374,0.0,0.9565217391304348,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",11:00 PM,39.12,0.0,23,5,27,7,21,0.5636167817104814,0.0,1.0,0.36363636363636365,0.8666666666666667,0.9999999999999999
"28-May, 2018",12:00 AM,38.82,0.0,0,5,28,1,22,0.5621481372693005,0.0,0.0,0.36363636363636365,0.9,0.0
"28-May, 2018",1:00 AM,34.15,0.0,1,5,28,1,22,0.5392862388015862,0.0,0.043478260869565216,0.36363636363636365,0.9,0.0
"28-May, 2018",2:00 AM,31.66,0.0,2,5,28,1,22,0.5270964899397856,0.0,0.08695652173913043,0.36363636363636365,0.9,0.0
"28-May, 2018",3:00 AM,31.06,0.0,3,5,28,1,22,0.5241592010574241,0.0,0.13043478260869565,0.36363636363636365,0.9,0.0
"28-May, 2018",4:00 AM,31.96,0.0,4,5,28,1,22,0.5285651343809664,0.0,0.17391304347826086,0.36363636363636365,0.9,0.0
"28-May, 2018",5:00 AM,27.54,0.04,5,5,28,1,22,0.5069271062809029,0.04938271604938271,0.21739130434782608,0.36363636363636365,0.9,0.0
"28-May, 2018",6:00 AM,25.65,0.14,6,5,28,1,22,0.49767464630146385,0.17283950617283952,0.2608695652173913,0.36363636363636365,0.9,0.0
"28-May, 2018",7:00 AM,26.45,0.3,7,5,28,1,22,0.5015910314779459,0.37037037037037035,0.30434782608695654,0.36363636363636365,0.9,0.0
"28-May, 2018",8:00 AM,27.09,0.45,8,5,28,1,22,0.5047241396191317,0.5555555555555556,0.34782608695652173,0.36363636363636365,0.9,0.0
"28-May, 2018",9:00 AM,29.01,0.56,9,5,28,1,22,0.5141234640426887,0.6913580246913581,0.3913043478260869,0.36363636363636365,0.9,0.0
"28-May, 2018",10:00 AM,26.22,0.62,10,5,28,1,22,0.5004650707397074,0.7654320987654321,0.43478260869565216,0.36363636363636365,0.9,0.0
"28-May, 2018",11:00 AM,26.37,0.65,11,5,28,1,22,0.5011993929602977,0.8024691358024691,0.4782608695652174,0.36363636363636365,0.9,0.0
"28-May, 2018",12:00 PM,28.7,0.64,12,5,28,1,22,0.5126058647868019,0.7901234567901234,0.5217391304347826,0.36363636363636365,0.9,0.0
