Date,Time of day,day_price[€/MWh],yes_price[€/MWh],fore_gen[MWh],hour,month,day,norm_dp[€/MWh],norm_yp[€/MWh],norm_fg[MWh],norm_hh,norm_mm,norm_dd
"Apr 15, 2019",2:00 PM,32.04,29.75,0.73,14,4,15,0.577150423227881,0.5663214640374522,0.9012345679012345,0.6086956521739131,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",3:00 PM,35.67,28.97,0.65,15,4,15,0.5943159786258099,0.5626329975883104,0.8024691358024691,0.6521739130434783,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",4:00 PM,35.58,31.26,0.52,16,4,15,0.5938903863432166,0.5734619567787393,0.6419753086419753,0.6956521739130435,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",5:00 PM,40.96,35.04,0.34,17,4,15,0.6193313472360147,0.5913368326476569,0.4197530864197531,0.7391304347826086,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",6:00 PM,47.01,41.87,0.15,18,4,15,0.6479406062325626,0.6236345580933467,0.18518518518518517,0.7826086956521738,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",7:00 PM,49.27,44.7,0.01,19,4,15,0.6586277013287938,0.6370170709793352,0.012345679012345678,0.8260869565217391,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",8:00 PM,48.56,46.74,0.0,20,4,15,0.6552702510994468,0.6466638293847828,0.0,0.8695652173913043,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",9:00 PM,45.7,43.28,0.0,21,4,15,0.6417458741192605,0.6303021705206413,0.0,0.9130434782608695,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",10:00 PM,42.43,38.59,0.0,22,4,15,0.6262826878517048,0.6081240837943918,0.0,0.9565217391304348,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",11:00 PM,34.97,38.11,0.0,23,4,15,0.5910058164278622,0.6058542582872275,0.0,1.0,0.2727272727272727,0.4666666666666667
"Apr 16, 2019",12:00 AM,37.16,35.58,0.0,0,4,16,0.6013618953042985,0.5938903863432166,0.0,0.0,0.2727272727272727,0.5
