Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,norm_ap,norm_fg,norm_fp
"22-Apr, 2018",3:00 AM,16.65,0.15,13.080696102636368,3,4,22,0,16,0.4536153130660401,0.15463917525773196,0.4652477386330861
"22-Apr, 2018",4:00 AM,14.98,0.13,13.70836950695913,4,4,22,0,16,0.4454398590101337,0.13402061855670105,0.46807460664876205
"22-Apr, 2018",5:00 AM,12.94,0.11,19.454841030708717,5,4,22,0,16,0.43545307681010437,0.11340206185567012,0.49395513056710083
"22-Apr, 2018",6:00 AM,14.93,0.07,24.6333786970205,6,4,22,0,16,0.4451950849366036,0.07216494845360827,0.5172778369237052
"22-Apr, 2018",7:00 AM,18.46,0.03,25.022985226578665,7,4,22,0,16,0.4624761345278309,0.030927835051546393,0.5190325173506938
"22-Apr, 2018",8:00 AM,18.53,0.02,15.051541771850884,8,4,22,0,16,0.4628188182307731,0.02061855670103093,0.4741238843288676
"22-Apr, 2018",9:00 AM,15.96,0.01,15.83711716431985,9,4,22,0,16,0.4502374308513243,0.010309278350515465,0.47766189937869863
"22-Apr, 2018",10:00 AM,15.68,0.01,20.85628227416698,10,4,22,0,16,0.44886669603955553,0.010309278350515465,0.500266835666755
"22-Apr, 2018",11:00 AM,13.99,0.01,13.201991271221583,11,4,22,0,16,0.44059333235423714,0.010309278350515465,0.46579401864139636
"22-Apr, 2018",12:00 PM,13.83,0.01,6.555366822944365,12,4,22,0,16,0.4398100553189407,0.010309278350515465,0.4358594540483378
"22-Apr, 2018",1:00 PM,4.0,0.02,2.6105323636859468,13,4,22,0,16,0.3916874724629168,0.02061855670103093,0.4180930069068565
"22-Apr, 2018",2:00 PM,2.42,0.03,0.555480026968447,14,4,22,0,16,0.3839526117393646,0.030927835051546393,0.4088376175894217
"22-Apr, 2018",3:00 PM,3.03,0.03,-9.400182338717826,15,4,22,0,16,0.38693885543643225,0.030927835051546393,0.36400005824310366
"22-Apr, 2018",4:00 PM,6.05,0.04,7.697512774950391,16,4,22,0,16,0.4017232094776522,0.04123711340206186,0.44100336462145384
"22-Apr, 2018",5:00 PM,18.5,0.04,14.292169678003411,17,4,22,0,16,0.462671953786655,0.04123711340206186,0.470703881713956
"22-Apr, 2018",6:00 PM,28.36,0.02,25.623752938831267,18,4,22,0,16,0.510941401086797,0.02061855670103093,0.521738209544949
"22-Apr, 2018",7:00 PM,35.0,0.01,30.154413142278212,19,4,22,0,16,0.5434473980515985,0.010309278350515465,0.5421430543747838
"22-Apr, 2018",8:00 PM,36.96,0.01,35.836411726255704,20,4,22,0,16,0.5530425417339796,0.010309278350515465,0.5677332099422204
"22-Apr, 2018",9:00 PM,32.35,0.01,25.490326500123768,21,4,22,0,16,0.5304743721545016,0.010309278350515465,0.521137293639591
"22-Apr, 2018",10:00 PM,32.34,0.02,32.53178153175304,22,4,22,0,16,0.5304254173397955,0.02061855670103093,0.5528500663580884
"22-Apr, 2018",11:00 PM,24.1,0.05,27.490667347514677,23,4,22,0,16,0.4900866500220298,0.05154639175257733,0.5301462774885095
"23-Apr, 2018",12:00 AM,18.49,0.11,12.567361736485903,0,4,23,1,17,0.462622998971949,0.11340206185567012,0.4629358221315677
"23-Apr, 2018",1:00 AM,16.08,0.21,11.627138507536822,1,4,23,1,17,0.4508248886277966,0.21649484536082475,0.4587013158497865
"23-Apr, 2018",2:00 AM,13.85,0.3,13.301048340156784,2,4,23,1,17,0.4399079649483527,0.30927835051546393,0.4662401443780789
"23-Apr, 2018",3:00 AM,12.25,0.32,8.55154485839317,3,4,23,1,17,0.4320751945953885,0.3298969072164949,0.4448496897396104
"23-Apr, 2018",4:00 AM,14.07,0.26,4.9385727416313205,4,4,23,1,17,0.4409849708718853,0.2680412371134021,0.4285778591218658
"23-Apr, 2018",5:00 AM,22.2,0.18,20.35918581861865,5,4,23,1,17,0.48078523522788474,0.18556701030927836,0.49802805023914615
"23-Apr, 2018",6:00 AM,39.16,0.13,45.98141994559531,6,4,23,1,17,0.5638126009693054,0.13402061855670105,0.613423530826477
"23-Apr, 2018",7:00 AM,47.42,0.07,45.786851546343215,7,4,23,1,17,0.6042492779164832,0.07216494845360827,0.6125472483825833
"23-Apr, 2018",8:00 AM,46.05,0.08,52.50017871292086,8,4,23,1,17,0.5975424683017576,0.08247422680412372,0.6427822236344711
